try to use List instead of IEnumerable and IList
it seems naive comparer GetHashCode is faster on a single property
HasKey is optional if related entity only appear in HasOne and MergeSingle

more tests
	complex scenario (see aFRR Activation Control)

LoadNoNavigation
| Method                            | N    | Option     | Mean           | Error         | StdDev        |
|---------------------------------- |----- |----------- |---------------:|--------------:|--------------:|
| NoHashtableNaiveComparerDiff      | 10   | Identical  |      55.656 μs |     1.0240 μs |     0.9578 μs |
| NoHashtablePrecompileComparerDiff | 10   | Identical  |       3.843 μs |     0.0135 μs |     0.0120 μs |
| HashtableNaiveComparerDiff        | 10   | Identical  |      55.178 μs |     0.9065 μs |     0.8479 μs |
| HashtablePrecompileComparerDiff   | 10   | Identical  |       3.837 μs |     0.0265 μs |     0.0248 μs |
| NoHashtableNaiveComparerDiff      | 10   | NoExisting |       2.500 μs |     0.0208 μs |     0.0184 μs |
| NoHashtablePrecompileComparerDiff | 10   | NoExisting |       2.471 μs |     0.0477 μs |     0.0549 μs |
| HashtableNaiveComparerDiff        | 10   | NoExisting |       2.387 μs |     0.0478 μs |     0.0587 μs |
| HashtablePrecompileComparerDiff   | 10   | NoExisting |       2.405 μs |     0.0392 μs |     0.0366 μs |
| NoHashtableNaiveComparerDiff      | 10   | NoNew      |       2.405 μs |     0.0417 μs |     0.0348 μs |
| NoHashtablePrecompileComparerDiff | 10   | NoNew      |       2.340 μs |     0.0460 μs |     0.0530 μs |
| HashtableNaiveComparerDiff        | 10   | NoNew      |       2.458 μs |     0.0448 μs |     0.0419 μs |
| HashtablePrecompileComparerDiff   | 10   | NoNew      |       2.499 μs |     0.0363 μs |     0.0340 μs |
| NoHashtableNaiveComparerDiff      | 10   | Random     |      54.549 μs |     0.8326 μs |     0.7789 μs |
| NoHashtablePrecompileComparerDiff | 10   | Random     |       8.433 μs |     0.1525 μs |     0.1426 μs |
| HashtableNaiveComparerDiff        | 10   | Random     |      55.746 μs |     0.7626 μs |     0.7133 μs |
| HashtablePrecompileComparerDiff   | 10   | Random     |       8.409 μs |     0.1326 μs |     0.1176 μs |
| NoHashtableNaiveComparerDiff      | 100  | Identical  |   4,910.960 μs |    74.2475 μs |    69.4511 μs |
| NoHashtablePrecompileComparerDiff | 100  | Identical  |     183.635 μs |     1.9383 μs |     1.8130 μs |
| HashtableNaiveComparerDiff        | 100  | Identical  |     223.241 μs |     3.3635 μs |     3.1463 μs |
| HashtablePrecompileComparerDiff   | 100  | Identical  |      41.883 μs |     0.7993 μs |     0.8552 μs |
| NoHashtableNaiveComparerDiff      | 100  | NoExisting |      21.345 μs |     0.3003 μs |     0.2809 μs |
| NoHashtablePrecompileComparerDiff | 100  | NoExisting |      21.071 μs |     0.3446 μs |     0.3223 μs |
| HashtableNaiveComparerDiff        | 100  | NoExisting |      21.463 μs |     0.1650 μs |     0.1378 μs |
| HashtablePrecompileComparerDiff   | 100  | NoExisting |      20.583 μs |     0.3944 μs |     0.3689 μs |
| NoHashtableNaiveComparerDiff      | 100  | NoNew      |      21.068 μs |     0.2726 μs |     0.2550 μs |
| NoHashtablePrecompileComparerDiff | 100  | NoNew      |      21.440 μs |     0.3841 μs |     0.3405 μs |
| HashtableNaiveComparerDiff        | 100  | NoNew      |      21.027 μs |     0.3888 μs |     0.3447 μs |
| HashtablePrecompileComparerDiff   | 100  | NoNew      |      21.132 μs |     0.2219 μs |     0.2076 μs |
| NoHashtableNaiveComparerDiff      | 100  | Random     |   4,961.571 μs |    77.3073 μs |    72.3133 μs |
| NoHashtablePrecompileComparerDiff | 100  | Random     |     344.298 μs |     3.6774 μs |     3.4398 μs |
| HashtableNaiveComparerDiff        | 100  | Random     |     188.189 μs |     2.5562 μs |     2.3910 μs |
| HashtablePrecompileComparerDiff   | 100  | Random     |      64.702 μs |     1.0772 μs |     1.0076 μs |
| NoHashtableNaiveComparerDiff      | 1000 | Identical  | 486,664.118 μs | 9,428.8514 μs | 9,682.7361 μs |
| NoHashtablePrecompileComparerDiff | 1000 | Identical  |  16,871.847 μs |   181.7593 μs |   170.0178 μs |
| HashtableNaiveComparerDiff        | 1000 | Identical  |   2,223.236 μs |    44.3199 μs |    43.5281 μs |
| HashtablePrecompileComparerDiff   | 1000 | Identical  |     450.017 μs |     5.0308 μs |     4.7058 μs |
| NoHashtableNaiveComparerDiff      | 1000 | NoExisting |     203.673 μs |     4.0545 μs |     3.9821 μs |
| NoHashtablePrecompileComparerDiff | 1000 | NoExisting |     202.483 μs |     2.4292 μs |     2.1534 μs |
| HashtableNaiveComparerDiff        | 1000 | NoExisting |     206.794 μs |     3.8656 μs |     3.6158 μs |
| HashtablePrecompileComparerDiff   | 1000 | NoExisting |     206.815 μs |     4.1348 μs |     4.0609 μs |
| NoHashtableNaiveComparerDiff      | 1000 | NoNew      |     207.980 μs |     3.6333 μs |     3.3986 μs |
| NoHashtablePrecompileComparerDiff | 1000 | NoNew      |     207.828 μs |     2.3704 μs |     2.2173 μs |
| HashtableNaiveComparerDiff        | 1000 | NoNew      |     203.689 μs |     2.9347 μs |     2.7452 μs |
| HashtablePrecompileComparerDiff   | 1000 | NoNew      |     203.391 μs |     3.5733 μs |     3.3424 μs |
| NoHashtableNaiveComparerDiff      | 1000 | Random     | 491,561.250 μs | 9,269.8016 μs | 9,104.1847 μs |
| NoHashtablePrecompileComparerDiff | 1000 | Random     |  29,514.420 μs |   372.5704 μs |   348.5026 μs |
| HashtableNaiveComparerDiff        | 1000 | Random     |   1,901.151 μs |    24.8440 μs |    23.2391 μs |
| HashtablePrecompileComparerDiff   | 1000 | Random     |     677.840 μs |     7.2754 μs |     6.4495 μs |

1.7
LoadNavigation (3 levels, 1st level: N 2nd level: 96 items, 3rd level: 255 items)
| Method                            | N   | Option     | Mean            | Error           | StdDev           | Median          |
|---------------------------------- |---- |----------- |----------------:|----------------:|-----------------:|----------------:|
| NoHashtableNaiveComparerDiff      | 10  | Identical  |      7,640.4 μs |       151.11 μs |        148.41 μs |      7,578.1 μs |
| NoHashtablePrecompileComparerDiff | 10  | Identical  |      1,515.1 μs |        30.24 μs |         82.26 μs |      1,510.8 μs |
| HashtableNaiveComparerDiff        | 10  | Identical  |        921.4 μs |         2.44 μs |          2.28 μs |        920.5 μs |
| HashtablePrecompileComparerDiff   | 10  | Identical  |        764.7 μs |         4.36 μs |          4.08 μs |        764.1 μs |
| NoHashtableNaiveComparerDiff      | 10  | NoExisting |     88,875.8 μs |     1,493.69 μs |      1,324.11 μs |     89,068.0 μs |
| NoHashtablePrecompileComparerDiff | 10  | NoExisting |     87,627.7 μs |       436.30 μs |        408.12 μs |     87,701.6 μs |
| HashtableNaiveComparerDiff        | 10  | NoExisting |     87,837.4 μs |       478.13 μs |        423.85 μs |     87,843.5 μs |
| HashtablePrecompileComparerDiff   | 10  | NoExisting |     87,650.2 μs |       477.22 μs |        423.04 μs |     87,750.9 μs |
| NoHashtableNaiveComparerDiff      | 10  | NoNew      |     87,619.5 μs |       518.48 μs |        484.99 μs |     87,517.7 μs |
| NoHashtablePrecompileComparerDiff | 10  | NoNew      |     88,151.6 μs |     1,012.48 μs |        947.07 μs |     87,906.1 μs |
| HashtableNaiveComparerDiff        | 10  | NoNew      |     87,773.8 μs |       526.42 μs |        466.65 μs |     87,784.1 μs |
| HashtablePrecompileComparerDiff   | 10  | NoNew      |     90,164.3 μs |       438.58 μs |        342.42 μs |     90,197.4 μs |
| NoHashtableNaiveComparerDiff      | 10  | Random     |  4,611,318.1 μs |   460,712.34 μs |  1,358,420.72 μs |  4,644,774.7 μs |
| NoHashtablePrecompileComparerDiff | 10  | Random     |    801,244.8 μs |    64,359.78 μs |    189,766.28 μs |    796,216.6 μs |
| HashtableNaiveComparerDiff        | 10  | Random     |    167,483.1 μs |       772.54 μs |        645.11 μs |    167,419.3 μs |
| HashtablePrecompileComparerDiff   | 10  | Random     |    143,698.6 μs |     1,421.05 μs |      1,259.72 μs |    144,027.6 μs |
| NoHashtableNaiveComparerDiff      | 100 | Identical  |     74,988.9 μs |    22,521.86 μs |     66,406.21 μs |     73,578.5 μs |
| NoHashtablePrecompileComparerDiff | 100 | Identical  |     13,932.6 μs |     2,257.76 μs |      6,657.06 μs |     14,124.8 μs |
| HashtableNaiveComparerDiff        | 100 | Identical  |      9,017.3 μs |       565.48 μs |      1,667.33 μs |      9,099.4 μs |
| HashtablePrecompileComparerDiff   | 100 | Identical  |      7,455.9 μs |        84.51 μs |         70.57 μs |      7,459.2 μs |
| NoHashtableNaiveComparerDiff      | 100 | NoExisting |    834,167.4 μs |     7,256.63 μs |      6,787.86 μs |    835,738.5 μs |
| NoHashtablePrecompileComparerDiff | 100 | NoExisting |    841,093.4 μs |     6,190.14 μs |      5,790.26 μs |    841,152.6 μs |
| HashtableNaiveComparerDiff        | 100 | NoExisting |    851,029.7 μs |     5,324.69 μs |      4,980.72 μs |    851,823.8 μs |
| HashtablePrecompileComparerDiff   | 100 | NoExisting |    860,471.5 μs |     6,600.45 μs |      6,174.06 μs |    859,167.7 μs |
| NoHashtableNaiveComparerDiff      | 100 | NoNew      |    846,900.8 μs |     6,112.20 μs |      5,717.36 μs |    849,020.7 μs |
| NoHashtablePrecompileComparerDiff | 100 | NoNew      |    884,679.1 μs |     6,392.02 μs |      5,666.36 μs |    883,587.1 μs |
| HashtableNaiveComparerDiff        | 100 | NoNew      |    845,388.1 μs |     6,473.33 μs |      6,055.16 μs |    846,807.0 μs |
| HashtablePrecompileComparerDiff   | 100 | NoNew      |    824,700.7 μs |     4,466.37 μs |      4,177.84 μs |    823,525.9 μs |
| NoHashtableNaiveComparerDiff      | 100 | Random     | 39,631,988.3 μs | 3,937,653.02 μs | 11,610,258.78 μs | 38,960,930.1 μs |
| NoHashtablePrecompileComparerDiff | 100 | Random     |  8,382,007.2 μs |   678,988.77 μs |  2,002,013.71 μs |  8,300,981.0 μs |
| HashtableNaiveComparerDiff        | 100 | Random     |  1,826,060.2 μs |    36,485.42 μs |     94,180.52 μs |  1,900,440.9 μs |
| HashtablePrecompileComparerDiff   | 100 | Random     |  1,617,833.4 μs |    51,147.41 μs |    150,809.29 μs |  1,697,859.7 μs |

1.8
LoadNavigation (3 levels, 1st level: N 2nd level: 96 items, 3rd level: 255 items)
| Method                            | N   | Option     | Mean            | Error           | StdDev           | Median          |
|---------------------------------- |---- |----------- |----------------:|----------------:|-----------------:|----------------:|
| NoHashtableNaiveComparerDiff      | 10  | Identical  |     14,049.8 μs |     4,524.33 μs |     13,340.09 μs |     13,829.0 μs |
| NoHashtablePrecompileComparerDiff | 10  | Identical  |      2,241.4 μs |        44.45 μs |         90.80 μs |      2,268.3 μs |
| HashtableNaiveComparerDiff        | 10  | Identical  |        899.2 μs |         8.60 μs |          7.62 μs |        896.5 μs |
| HashtablePrecompileComparerDiff   | 10  | Identical  |        709.1 μs |         4.97 μs |          4.64 μs |        708.1 μs |
| NoHashtableNaiveComparerDiff      | 10  | NoExisting |     91,692.5 μs |     1,537.81 μs |      1,363.23 μs |     91,973.6 μs |
| NoHashtablePrecompileComparerDiff | 10  | NoExisting |     89,534.0 μs |     1,260.46 μs |      1,117.37 μs |     89,075.7 μs |
| HashtableNaiveComparerDiff        | 10  | NoExisting |     93,641.5 μs |     1,064.17 μs |        995.43 μs |     93,908.3 μs |
| HashtablePrecompileComparerDiff   | 10  | NoExisting |     93,781.7 μs |       947.03 μs |        885.85 μs |     94,000.3 μs |
